Title,Published Date,Type,Link,Authors,Abstract
"Mood States of Active and Insufficiently Active Adolescents Related to Sleep Quality, Gender, Academic Performance and Guidelines for the Post-Covid-19 Scenario",23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1494456/full,"Alexandro Andrade, Anderson D'Oliveira, Keyla M. Dos Santos, Lavinia Falese, Stefania Mancone, Pierluigi Diotaiuti, Luca Stabile, Giorgio Buonanno",Abstract not available.
Angle-of-approach and reversal-movement effects in lateral manual interception,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1433803/full,"Simon Ledouit, Danial Borooghani, Remy Casanova, Nicolas BENGUIGUI, Frank T. Zaal, Reinoud J. Bootsma",Abstract not available.
Children's Number line Estimation Strategies: Evidence from Bounded and Unbounded Number Line Estimation Tasks,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1421821/full,"Mengxia Li, Jiahui Yang",Abstract not available.
Does Higher Endorsement with Collaboration Lead to Better Performance on Collaborative Problem Solving?: An Explanatory Item Response Approach to Cross-Cultural Comparisons,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1468533/full,"Chang Lu, Okan Bulut",Abstract not available.
Antecedents of Academic Actual Help-Seeking Behaviour and Support Services Utilization among Distance Education Students,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1453321/full,"Moses Segbenya, Beatrice A. Somuah, Paul D. Ahiatrogah, Brandford Bervell",Abstract not available.
Confirmatory validation of a brief patient-reported outcome measure assessing psychological distress in caregivers of malignant mesothelioma patients: the Mesothelioma Psychological Distress Tool–Caregivers,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1444960/full,"Antonella Granieri, Isabella Giulia Franzoi, Maria Domenica Sauta, Alessandro Marinaccio, Carolina Mensi, Sabrina Rugarli, Enrica Migliore, Ilaria Cozzi, Domenica Cavone, Luigi Vimercati, Federica Grosso, Marinella Bertolotti, Giulia Raimondi, Marco Innamorati, Michela Bonafede","Objective:The diagnosis of malignant mesothelioma (MM) can be devastating for both patients and caregivers, who may experience intense suffering from a physical, psychological, and interpersonal perspective. Despite the extensive literature on caregiver distress, there is a lack of validated measures to provide evidence of psychological distress of caregivers of MM patients. Therefore, in a previous study we developed the Mesothelioma Psychological Distress Tool–Caregivers (MPDT-C) to evaluate the specific profile of psychological distress in this population. This paper describes the item selection, factor analysis, and psychometric evaluation of the revised MPDT-C."
Influence of personality disorders on sexual behaviours and response to treatment of psychogenic erectile dysfunction in phosphodiesterase 5 inhibitor non-responders,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1496891/full,"Marina Cabello-García, Yolanda Sánchez-Sandoval, Antonio Daniel García-Rojas",Background:Personality disorders may influence sexual behaviours and sexual dysfunction.
Alignment of color discrimination in humans and image segmentation networks,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1415958/full,"Pablo Hernández-Cámara, Paula Daudén-Oliver, Valero Laparra, Jesús Malo","The experiments allowed by current machine learning models imply a revival of the debate on the causes of specific trends of human visual psychophysics. Machine learning facilitates the exploration of the effect of specific visual goals (such as image segmentation) by different neural architectures in different statistical environments in an unprecedented manner. In this way, (1) the principles behind psychophysical facts such as the non-Euclidean nature of human color discrimination and (2) the emergence of human-like behaviour in artificial systems can be explored under a new light. In this work, we show for the first time that thetoleranceorinvarianceof image segmentation networks for natural images under changes of illuminant in the color space (a sort of insensitivity region around thewhite) is anellipsoidoriented similarly to a (human) MacAdam ellipse. This striking similarity between an artificial system and human vision motivates a set of experiments checking the relevance of the statistical environment on the emergence of such insensitivity regions. Results suggest, that in this case, the statistics of the environment may be more relevant than the architecture selected to perform the image segmentation."
Achievement motivation and mental health among medical postgraduates: the chain mediating effect of self-esteem and perceived stress,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1483090/full,"Mu-yun Ma, Yao Li, Li Guo, Guan-e Yang,",Introduction:Medical postgraduates generally experience high levels of depression and anxiety. Previous studies have investigated the impact of various achievement motivations on depression/anxiety among medical students.
Unique and cumulative effects of different subtypes of sleep problems on burnout among Chinese nurses,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1483771/full,"Ping-Zhen Lin, Yong-Sen Lin, Xu Wang, Lan-Lan Chen, Yan-Yan Lin, Bi-Yu Wu",Objective:To investigate the unique and cumulative associations of different sleep problem subtypes with burnout among Chinese nurses.
"Associations between physical activity, long COVID symptom intensity, and perceived health among individuals with long COVID",23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1498900/full,"Zoe Sirotiak, Duck-chul Lee, Angelique G. Brellenthin","Introduction:Physical activity (PA) is associated with better perceived health among individuals with chronic conditions. However, PA’s relationship with perceived health in people with long COVID is unclear and may be modified by long COVID symptom burden."
Exploring the lived experience of performance-related health and wellbeing among flautists,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1401122/full,"Jiayi Wang, Graham F. Welch","Introduction:The study has investigated the lived experience of flautists, focusing on their experiences and perceptions of performance-related physical discomfort, injury and related mental health challenges that they might have encountered in practice and performance. The aims of the research have been to provide flautists with an opportunity to reflect on any physical or psychological performance issues in their own words, and to understand the subjective meaning of these experiences."
In their narratives: academic socialization in the experience of sensory processing sensitivity among university students,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1448443/full,"Marzia Saglietti, Mara Marini, Stefano Livi, ","Introduction:While much of the worldwide contemporary research on sensory processing sensitivity (SPS) and environmental sensitivity (ES) has relied on the participation of university students, there remains a significant gap in understanding the academic social experiences of those scoring high in SPS (i.e., highly sensitive individuals)."
Behavioral trace data in an online learning environment as indicators of learning engagement in university students,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1396881/full,"Marc Winter, Julia Mordel, Julia Mendzheritskaya, Daniel Biedermann, George-Petru Ciordas-Hertel, Carolin Hahnel, Daniel Bengs, Ilka Wolter, Frank Goldhammer, Hendrik Drachsler, Cordula Artelt, Holger Horz","Learning in asynchronous online settings (AOSs) is challenging for university students. However, the construct of learning engagement (LE) represents a possible lever to identify and reduce challenges while learning online, especially, in AOSs. Learning analytics provides a fruitful framework to analyze students' learning processes and LE via trace data. The study, therefore, addresses the questions of whether LE can be modeled with the sub-dimensions of effort, attention, and content interest and by which trace data, derived from behavior within an AOS, these facets of LE are represented in self-reports. Participants were 764 university students attending an AOS. The results of best-subset regression analysis show that a model combining multiple indicators can account for a proportion of the variance in students' LE (highly significantR2between 0.04 and 0.13). The identified set of indicators is stable over time supporting the transferability to similar learning contexts. The results of this study can contribute to both research on learning processes in AOSs in higher education and the application of learning analytics in university teaching (e.g., modeling automated feedback)."
Validation of the CRAVE-C scale in Chinese adults: a four-study examination of competing motivations for physical activity versus rest,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1467949/full,"Zhihui Cheng, Alyx Taylor, Matthew A. Stults-Kolehmainen, Markus Gerber, Fabian Herold, Michael Ross, Garrett Ash, Arthur F. Kramer, Mengxian Zhao","Background:The study aimed to validate the Cravings for Rest and Volitional Energy Expenditure (CRAVE) scale among Chinese adults with different health conditions (healthy control, chronic illnesses, and psychiatric disorders) and skill levels (athletes vs. non-athletes)."
Ethnic origin of Israeli Jews and psychological responses to the extreme stress of the ongoing war with Hamas in Gaza,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1403132/full,"Yohanan Eshel, Shaul Kimhi, Hadas Marciano, Bruria Adini","Introduction:Discrimination constitutes a source of stress for minority groups, leading to heightened levels of depression. Discrimination can also elicit positive responses aimed at reducing detrimental impacts. The stress experienced by minority groups may impact their mindset and influence their negative emotional responses. Israeli Jewish society comprised for many years two large communities: the dominant Ashkenazi people, who emigrated from East Europe, and the Mizrahi discriminated minority whose members came from Muslim countries. The Mizrahi minority has become a mainstream community over time, and its size equals the Ashkenazi group. This change raises an interesting issue that has not been investigated empirically: What characterizes the psychological responses to the stress of a formerly discriminated minority?"
Relationship between emotional intelligence and quality of healthcare among nurses,23 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1423235/full,"Islam Oweidat, Mahmoud Alzoubi, Ghada Abu Shosha, Wafa’a Ta’an, Anas Khalifeh, Majdi M. Alzoubi, Khalid Al-Mugheed, Amany Anwar Saeed Alabdullah, Sally Mohammed Farghaly Abdelaliem",Introduction:Healthcare organizations worldwide face intense competition for survival in an ever-changing environment.
Exploring the impact of physical exercise on mental health among female college students: The chain mediating role of coping styles and psychological resilience,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1466327/full,"Longan Cao, Xiaorong Ao, Zhirong Zheng, Zhengban Ran, Jun Lang",Abstract not available.
The Validation and Measurement Invariance of Langer Mindfulness Scale: The Turkish Version,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1474577/full,"Menekşe Uysal Saraç, Yıldız Yıldırım, Hasan Eşici, Şener Büyüköztürk, Francesco Pagnini, Ellen Langer",Abstract not available.
The role of information and participation in overcoming users' initial reluctance: A case study of a decentralized wastewater treatment plant,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1445320/full,"Sergio Vila-Tojo, Cristina Gómez-Román, Jose-Manuel Sabucedo,",Abstract not available.
Personality traits and physical activity in patients with gambling disorder attending a rehabilitation center. An observational study,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1465195/full,"Inmaculada Fierro, Raúl Fernández-Prieto, Alicia Fernández-Parra, Miriam Herrero- Martín, Azael J. Herrero,",Abstract not available.
Quality of Life in Provinces in Indonesia As measured with Happy Life Years,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1478726/full,"Adi C. Pierewan, Ruut Veenhoven,",Abstract not available.
Effects of multilevel metacognition on group performance and regulation in Collaborative Learning,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1419408/full,"Lifang Qiao, Wei Zhao, Fengjuan Liu, Xiaoqing Xu, Jinhong Tao",Abstract not available.
The effects of procrastination on physical activity among Chinese university students: the chain-mediated effects of time management disposition and exercise motivation,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1433880/full,"Yuan Zhang, Maoshen Tian, Jian Yang, Yue Xi, Zhihui Li, Lin Wang",Abstract not available.
Self-regulatory and metacognitive instruction regarding student conceptions: influence on students’ self-efficacy and cognitive load,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1450947/full,"Tim Hartelt, Helge Martens","Self-regulatory and metacognitive instruction regarding student conceptions can help students become metacognitively (or more specifically, metaconceptually) aware of their conceptions and self-regulate their intuitive conceptions in scientific contexts when they are not appropriate. Two approaches have been found effective in enhancing conceptual knowledge: (a) self-assessing one’s conceptions and (b) acquiring conditional metaconceptual knowledge about why and in which contexts specific conceptions are appropriate or not. However, it is unclear how these approaches influence other cognitive and affective variables, such as self-efficacy and cognitive load. Nevertheless, it is essential to investigate whether making students aware of their intuitive conceptions affects their self-efficacy and to what extent reflecting on one’s conceptions requires additional (meta-)cognitive resources. Thus, we conducted an experimental intervention study using a 2×2 factorial design withN= 602 upper secondary biology students. Becoming metaconceptually aware of one’s (intuitive) conceptions did not lower students’ self-efficacy but enabled more accurate beliefs about their abilities. However, the self-assessment increased mental load, which partly suppressed the beneficial effect of the self-assessment on conceptual knowledge. In contrast, the instruction on conditional metaconceptual knowledge did not result in higher mental load and, thus, aligned more with students’ cognitive capacities. Furthermore, students with more pronounced general metaconceptual thinking reported lower mental load, implying that regular instruction focusing on metaconceptual thinking may reduce load. Thus, it is suggested to continuously promote students’ metaconceptual thinking and to embed metaconceptual activities (e.g., self-assessments) repeatedly across longer instructional units."
The psychological mechanisms of the better-than-average effect in the moral and competence domains under self-enhancement and self-protection motives among young Japanese adults,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1367568/full,"Yi Ding, Motoaki Sugiura,","The better-than-average effect (BTAE) refers to the phenomenon where individuals perceive themselves as better than the average person. This effect has been independently examined in terms of social perception dimension and motivation. Additionally, no psychobehavioral traits have been found to be associated with the BTAE in the moral domain. However, the interactive effects of social perception dimension and motivation on the BTAE remain unclear, and its association with a broad range of psychobehavioral traits has not been extensively validated. In this study, we assess self-and average other-evaluations across four domains, based on two social perception dimensions and two motivations, to investigate their interactive effects on the BTAE (n= 678). We measured seven sets of psychobehavioral characteristics to examine their association with the BTAE, as well as self-and other-evaluations. Results indicated that the BTAE occurred only under negative moral conditions, while the worse-than-others effect was observed under two competence conditions. Furthermore, the BTAE was associated with only a few psychobehavioral characteristics in the moral domains, compared to many in the competence domains. Notably, both self-and other-evaluations were correlated with many trust-relevant characteristics in the moral domains. These findings suggest that sociocultural dynamics may influence the BTAE differently across various domains."
Gender differences in operational and cognitive abilities,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1402645/full,"Emil Lager, Kimmo Sorjonen, Marika Melin","Introduction:Gender differences in cognitive and operational abilities have been identified. Yet, their interrelationship remains underexplored. This prevents tailored evidence-based selection, allowing discrimination to persist."
How parenting styles affect primary school students’ subjective well-being? The mediating role of self-concept and emotional intelligence,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1425777/full,"Tiantian Gao, Baoqian Li, Shuxian Liang, Wanmeng Zhou, Xinyi Zhu, Lu Bai, Guoqiang Li","Purpose:To explore the relationship between parenting styles and self-concept, emotional intelligence, and subjective well-being among primary school students."
The impact of Philosophy for Children (P4C) activities on enhancing the speaking skills of gifted students,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1451532/full,"Emine Balcı, Ramazan Eryılmaz","The aim of this study was to investigate the impact of Philosophy for Children (P4C) activities integrated into Turkish lessons on the speaking skills of gifted students. Both quantitative and qualitative data were collected through interviews and various scales, employing a mixed-method design. The results indicated that students had positive feelings about P4C, including appreciation, curiosity, surprise, excitement, self-confidence, and empathy. They believed that P4C enhanced their problem-solving, creativity, questioning, effective speaking, and collaboration skills. However, some students also expressed negative views, tough less frequently, citing issues such as nonsense, limited time, the necessity of prior knowledge, and lack of idea diversification. Quantitative data revealed that P4C activities significantly improved the speaking skills of gifted students and notably reduced their speaking anxiety. Additionally, sex and program variables showed no significant effect on speaking skills and speaking anxiety."
Relations of coping strategies and cognitive emotion regulation to Chinese children’s academic achievement goals and academic performance,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1454886/full,"Li Chen-Bouck, Meagan M. Patterson, Anqi Peng","Social–emotional skills (e.g., emotion regulation) influence a variety of academic outcomes among children. This study examined the relations of coping strategies and cognitive emotion regulation (CER) to academic achievement goals and academic performance among Chinese children (N= 401, ageM= 10.52 years). Full Structural Equation Modeling (SEM) analysis showed that children’s use of active coping strategies was positively associated with their endorsement of performance approach and mastery avoidance goals. Avoidant and support-seeking coping strategies were not associated with any outcome variables. Maladaptive CER was positively associated with performance approach, performance avoidance, and mastery avoidance goals and negatively associated with academic performance; adaptive CER was positively associated with mastery approach goals but not associated with other outcome variables. The current study provided some preliminary evidence to indicate that active coping strategies, maladaptive CER, and adaptive CER were associated with academic achievement goals and academic performance among Chinese children. Although maladaptive CER was not used as often as adaptive CER by Chinese children, the more they used maladaptive CER, the more likely they were to have academic achievement goals that focused on things other than learning itself, whereas the more Chinese children used adaptive CER, the more likely they were to set an achievement goal to master the knowledge. Therefore, in teaching practices or intervention planning, decreasing maladaptive CER strategies may be as important as cultivating adaptive CER strategies to facilitate academic success among Chinese children."
Listening comprehension in a home language: a case of Russian in Germany,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1426831/full,"Luca Gacs, Anna Ritter, Evghenia Goltsev","Listening comprehension is central to language learning, yet it remains the least understood and least researched skill. This statement is still relevant today, as there is insufficient research to explore listening comprehension from the perspective of family-related multilingualism and to consider the complete linguistic repertoire of multilingual speakers. Moreover, with regard to home language, listening comprehension is assumed to be a more developed language competence than reading or writing. Based on the mentioned research, the aim of the present study is to investigate listening comprehension and its influencing factors specifically in German-Russian simultaneous bilinguals aged 13–19 (n= 99) by considering the home- and majority language. The study uses quantitative data collection methods such as linguistic tests in Russian and German for the elicitation in different levels of listening and questionnaires for strategy use and background. The research questions are as follows: What does the language proficiency and input in Russian look like? (1) Regarding listening comprehension in Russian as a home language, are there differences between the speakers within comprehension on different levels, e.g., is sound decoding easier than sentence parsing? (2) If there are differences in Russian as a home language, which linguistic and background variables can correlate with the performance of listening comprehension on its different levels? Concerning the first research question, the results show relevant differences between four different levels of listening comprehension (phoneme, word, sentence, and text level), which strengthened the assumed complexity of listening comprehension in the home language. In addition, the results show different connections between the listening comprehension competence and the input from different family members, as well as exposure to film and television in the home and majority language."
"Investigation of immunosuppressive treatment compliance, dyspnea, anxiety, and depression levels in lung transplant recipients: online interview",22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1378594/full,"Semra Bulbuloglu, Halil Ibrahim Sayim, ","Introduction:Following lung transplantation (LTx), it is important for recipients to comply with immunosuppressive treatment and cope with related problems. In the post-LTx period, the course of dyspnea and psychological problems it causes in case of progression are not known. Depression and anxiety may develop in recipients after LTx. However, the relationship between this situation and treatment compliance and dyspnea is uncertain."
Proactive control for conflict resolution is intact in subclinical obsessive-compulsive individuals,22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1490147/full,"Silvia Fornaro, Antonino Visalli, Giada Viviani, Ettore Ambrosini, Antonino Vallesi,","Background:Obsessive-compulsive (OC) traits (i.e., tendency to implement stereotyped behaviors to avoid negative consequences) are transversally observed in psychiatric disorders largely differing in terms of clinical manifestations and etiopathogenesis. Interestingly, OC traits were also extensively found in the prodromal phases of the full-blown psychopathology and in healthy relatives of affected individuals. Moreover, OC traits were found to be associated—and possibly underlain by—cognitive control impairments. Nonetheless, the role of such interplay in the onset of OC disorders is yet to be understood. We hypothesized that OC traits are associated with abnormalities in proactively implement cognitive control for solving conflict."
"Emotion regulation use in daily-life and its association with success of emotion-regulation, self-efficacy, stress, and state rumination",22 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1400223/full,"Isabell Int-Veen, Magdalena Volz, Agnes Kroczek, Andreas J. Fallgatter, Ann-Christine Ehlis, Julian A. Rubel, David Rosenbaum, ","Introduction:Investigations on emotion regulation strategies (ERS) primarily focus on the influence of instructed emotion regulation (ER) on outcomes. However, recent work has shown that selection of ERS is dependent on, e.g., situational demands and personal resources."
Psychosocial factors driving dietary management in patients with type 2 diabetes and healthy adults: an ecological momentary assessment,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1464542/full,"Junichi Saito, Hiroaki Kumano",Abstract not available.
A Novel Method for Quantitative Analysis of Subjective Experience Reports: Application to Psychedelic Visual Experiences,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1397064/full,"Sean L. Noah, Miranda Shen, Earth Erowid, Fire Erowid, Michael A. Silver",Abstract not available.
Workplace Anxiety Leading to Job Burnout among Young and Middle-aged University Lecturers: Mechanism and Mitigation Strategies,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1495718/full,"ZHOU KUN, Jin Wang",Abstract not available.
Communication Dynamics and Media Interactions of Young Adults Who Have Attempted Suicide: A Qualitative Thematic Analysis,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1460348/full,"Emel Arık, Mustafa İnce, Mevlüt C. Koçak, Yasemin Bilişli, Emrah O. Karataş, Hakkı Akgün, Faruk Aşlakçı",Abstract not available.
Capturing Spontaneous Interactivity: A Multi-Measure Approach to Analyzing the Dynamics of Interpersonal Coordination in Dance Improvisation,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1465595/full,"Paige Whitehead, Hanne De Jaegher, Ivani L. Santana, Rebecca Todd, Stefanie Blain-Moraes",Abstract not available.
The Timing of Vision in Basketball three-point Shots,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1458363/full,Alessandro Piras,Abstract not available.
Effects of short video addiction on college students' physical activity: the chain mediating role of self-efficacy and procrastination,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1429963/full,"Zhe Zhao, Yali Kou",Abstract not available.
The main predictors of well-being and productivity from a gender perspective,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1478826/full,"Kevin M. Martinez, Susana Llorens, Valeria C. Ortiz, Juanjo R. Luján, Marisa S. Soria",Abstract not available.
Expanding the boundaries: Investigating the integration of contextual information across a spectrum of inter-trial variability,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1494698/full,"Ruyi Qiu, Yanzhi Mo",Abstract not available.
"RELATIONSHIPS BETWEEN DYADIC COPING, MARITAL ADJUSTMENT, AND POST-TRAUMATIC GROWTH IN PATIENTS WITH MAINTENANCE HEMODIALYSIS PATIENTS AND THEIR SPOUSES",21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1487355/full,"Zhang Qi, heng cao",Abstract not available.
Readable and neutral? Reliability of crowdsourced misinformation debunking through linguistic and psychological cues,21 Oct 2024,Original Research,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1478176/full,"Mengni Yao, Sha Tian, Wenming Zhong",Abstract not available.
